"","NBRECBASA65M11","NBRECBASA66M2","NBRECBASA66M5","NBRECBASA66M8","NBRECBASA66M11","NBRECBASA67M2","NBRECBASA67M5","NBRECBASA67M8","NBRECBASA67M11","NBRECBASA68M2","NBRECBASA68M5","NBRECBASA68M8","NBRECBASA68M11","NBRECBASA69M2","NBRECBASA69M5","NBRECBASA69M8","NBRECBASA69M11","NBRECBASA70M2","NBRECBASA70M5","NBRECBASA70M8","NBRECBASA70M11","NBRECBASA71M2","NBRECBASA71M5","NBRECBASA71M8","NBRECBASA71M11","NBRECBASA72M2","NBRECBASA72M5","NBRECBASA72M8","NBRECBASA72M11","NBRECBASA73M2","NBRECBASA73M5","NBRECBASA73M8","NBRECBASA73M11","NBRECBASA74M2","NBRECBASA74M5","NBRECBASA74M8","NBRECBASA74M11","NBRECBASA75M2","NBRECBASA75M5","NBRECBASA75M8","NBRECBASA75M11","NBRECBASA76M2","NBRECBASA76M5","NBRECBASA76M8","NBRECBASA76M11","NBRECBASA77M2","NBRECBASA77M5","NBRECBASA77M8","NBRECBASA77M11","NBRECBASA78M2","NBRECBASA78M5","NBRECBASA78M8","NBRECBASA78M11","NBRECBASA79M2","NBRECBASA79M5","NBRECBASA79M8","NBRECBASA79M11","NBRECBASA80M2","NBRECBASA80M5","NBRECBASA80M8","NBRECBASA80M11","NBRECBASA81M2","NBRECBASA81M5","NBRECBASA81M8","NBRECBASA81M11","NBRECBASA82M2","NBRECBASA82M5","NBRECBASA82M8","NBRECBASA82M11","NBRECBASA83M2","NBRECBASA83M5","NBRECBASA83M8","NBRECBASA83M11","NBRECBASA84M2","NBRECBASA84M5","NBRECBASA84M8","NBRECBASA84M11","NBRECBASA85M2","NBRECBASA85M5","NBRECBASA85M8","NBRECBASA85M11","NBRECBASA86M2","NBRECBASA86M5","NBRECBASA86M8","NBRECBASA86M11","NBRECBASA87M2","NBRECBASA87M5","NBRECBASA87M8","NBRECBASA87M11","NBRECBASA88M2","NBRECBASA88M5","NBRECBASA88M8","NBRECBASA88M11","NBRECBASA89M2","NBRECBASA89M5","NBRECBASA89M8","NBRECBASA89M11","NBRECBASA90M2","NBRECBASA90M5","NBRECBASA90M8","NBRECBASA90M11","NBRECBASA91M2","NBRECBASA91M5","NBRECBASA91M8","NBRECBASA91M11","NBRECBASA92M2","NBRECBASA92M5","NBRECBASA92M8","NBRECBASA92M11","NBRECBASA93M2","NBRECBASA93M5","NBRECBASA93M8","NBRECBASA93M11","NBRECBASA94M2","NBRECBASA94M5","NBRECBASA94M8","NBRECBASA94M11","NBRECBASA95M2","NBRECBASA95M5","NBRECBASA95M8","NBRECBASA95M11","NBRECBASA96M2","NBRECBASA96M5","NBRECBASA96M8","NBRECBASA96M11","NBRECBASA97M2","NBRECBASA97M5","NBRECBASA97M8","NBRECBASA97M11","NBRECBASA98M2","NBRECBASA98M5","NBRECBASA98M8","NBRECBASA98M11","NBRECBASA99M2","NBRECBASA99M5","NBRECBASA99M8","NBRECBASA99M11","NBRECBASA00M2","NBRECBASA00M5","NBRECBASA00M8","NBRECBASA00M11","NBRECBASA01M2","NBRECBASA01M5","NBRECBASA01M8","NBRECBASA01M11","NBRECBASA02M2","NBRECBASA02M5","NBRECBASA02M8","NBRECBASA02M11","NBRECBASA03M2","NBRECBASA03M5","NBRECBASA03M8","NBRECBASA03M11","NBRECBASA04M2","NBRECBASA04M5","NBRECBASA04M8","NBRECBASA04M11","NBRECBASA05M2","NBRECBASA05M5","NBRECBASA05M8","NBRECBASA05M11","NBRECBASA06M2","NBRECBASA06M5","NBRECBASA06M8","NBRECBASA06M11","NBRECBASA07M2","NBRECBASA07M5","NBRECBASA07M8","NBRECBASA07M11","NBRECBASA08M2","NBRECBASA08M5","NBRECBASA08M8","NBRECBASA08M11","NBRECBASA09M2","NBRECBASA09M5","NBRECBASA09M8","NBRECBASA09M11","NBRECBASA10M2","NBRECBASA10M5","NBRECBASA10M8","NBRECBASA10M11","NBRECBASA11M2","NBRECBASA11M5","NBRECBASA11M8","NBRECBASA11M11","NBRECBASA12M2","NBRECBASA12M5","NBRECBASA12M8","NBRECBASA12M11","NBRECBASA13M2","NBRECBASA13M5"
"1987:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","57.294","57.294","57.294","58.283","58.283","58.283","58.468","58.468","58.468","58.468","58.407","58.407","58.407","58.407","45.635","45.635","45.635","42","42","38.859","38.859","38.859","38.697","38.697","38.697","38.697","38.7","38.7","38.7","38.7","38.691","38.691","38.691","38.691","38.682","38.682","38.682","38.682","38.701","38.70099999999999","38.70099999999999","38.708999999999996","38.733","38.733","38.733","38.733","38.589","38.589","38.589","38.589","38.589","38.589","38.589","38.589","38.589","38.589","38.589","38.589","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.673","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586","38.586"
"1987:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","57.995","58.003","58.003","58.973","58.973","58.973","59.201","59.201","59.201","59.201","59.08","59.08","59.08","59.08","46.439","46.439","46.439","42","42","38.73","38.73","38.73","39.367","39.367","39.367","39.367","39.34","39.34","39.34","39.34","39.321","39.321","39.321","39.321","39.321","39.321","39.321","39.321","39.34","39.339999999999996","39.339999999999996","39.340999999999994","39.345","39.345","39.345","39.345","39.33","39.33","39.33","39.33","39.33","39.33","39.33","39.33","39.33","39.33","39.33","39.33","39.4","39.4","39.4","39.4","39.399","39.399","39.399","39.399","39.399","39.399","39.399","39.399","39.399","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333","39.333"
"1987:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","57.756","57.756","58.822","58.822","58.822","58.906","58.906","58.906","58.906","58.859","58.859","58.859","58.859","46.114","46.114","46.114","42","42","39.514","39.514","39.514","39.048","39.048","39.048","39.048","39.026","39.026","39.026","39.026","39.014","39.014","39.014","39.014","39.03","39.03","39.03","39.03","39.034","39.034","39.034","39.035","39.004999999999995","39.004999999999995","39.004999999999995","39.004999999999995","39.092","39.092","39.092","39.092","39.092","39.092","39.092","39.092","39.092","39.092","39.092","39.092","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.133","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103","39.103"
"1987:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","57.142","57.142","58.428","58.428","58.428","58.399","58.399","58.399","58.399","58.298","58.298","58.298","58.298","45.518","45.518","45.518","42","42","39.165","39.165","39.165","38.568","38.568","38.568","38.568","38.555","38.555","38.555","38.555","38.562","38.562","38.562","38.562","38.572","38.572","38.572","38.572","38.601","38.601","38.601","38.601","38.681","38.681","38.681","38.681","38.602","38.602","38.602","38.602","38.602","38.602","38.602","38.602","38.602","38.602","38.602","38.602","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.624","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618","38.618"
"1988:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","57.628","57.606","58.748","58.748","58.748","58.763","58.763","58.763","58.763","58.756","58.756","58.756","58.756","45.877","45.877","45.877","42","42","38.64","38.64","38.64","38.901","38.901","38.901","38.901","38.941","38.941","38.941","38.941","38.951","38.951","38.951","38.951","38.958","38.958","38.958","38.958","38.95","38.95","38.95","38.949","38.834999999999994","38.834999999999994","38.851","38.851","38.739999999999995","38.739999999999995","38.739999999999995","38.74","38.74","38.74","38.74","38.74","38.74","38.74","38.74","38.74","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.77","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754","38.754"
"1988:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","58.248","59.382","59.382","59.382","59.325","59.325","59.325","59.325","59.444","59.444","59.444","59.444","46.339","46.339","46.339","42","42","38.873","38.873","38.873","39.266","39.266","39.266","39.266","39.249","39.249","39.249","39.249","39.238","39.238","39.238","39.238","39.21","39.21","39.21","39.21","39.204","39.20399999999999","39.20399999999999","39.205","39.19499999999999","39.19499999999999","39.196","39.196","39.208999999999996","39.208999999999996","39.208999999999996","39.209","39.209","39.209","39.209","39.209","39.209","39.209","39.209","39.209","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.264","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215","39.215"
"1988:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","58.354","59.487","59.487","59.487","59.389","59.389","59.389","59.389","59.471","59.471","59.471","59.471","46.104","46.104","46.104","42","42","39.247","39.247","39.247","38.99","38.99","38.99","38.99","39.015","39.015","39.015","39.015","38.996","38.996","38.996","38.996","38.98","38.98","38.98","38.98","38.965","38.964999999999996","38.964999999999996","38.964999999999996","39.007999999999996","39.007999999999996","39.00599999999999","39.00599999999999","38.995","38.995","38.995","38.995","38.995","38.995","38.995","38.995","38.995","38.995","38.995","38.995","39.066","39.066","39.066","39.066","39.066","39.066","39.066","39.066","39.066","39.066","39.066","39.066","39.066","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993","38.993"
"1988:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","59.102","60.004","60.004","60.004","59.993","59.993","59.993","59.993","59.831","59.831","59.831","59.831","46.469","46.469","46.469","42","42","38.958","38.958","38.958","39.384","39.384","39.384","39.384","39.451","39.451","39.451","39.451","39.464","39.464","39.464","39.464","39.473","39.473","39.473","39.473","39.464","39.464","39.464","39.462999999999994","39.385999999999996","39.385999999999996","39.385","39.385","39.25599999999999","39.25599999999999","39.25599999999999","39.256","39.256","39.256","39.256","39.256","39.256","39.256","39.256","39.256","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.329","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252","39.252"
"1988:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","59.894","59.894","59.894","59.951","59.951","59.951","59.951","59.992","59.992","59.992","59.992","46.752","46.752","46.752","42","42","39.343","39.343","39.343","39.613","39.613","39.613","39.613","39.574","39.574","39.574","39.574","39.586","39.586","39.586","39.586","39.592","39.592","39.592","39.592","39.585","39.584999999999994","39.584999999999994","39.584999999999994","39.629","39.629","39.63399999999999","39.63399999999999","39.492","39.492","39.492","39.492","39.492","39.491","39.491","39.491","39.491","39.491","39.491","39.491","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.56","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487","39.487"
"1988:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.108","60.108","60.108","60.047","60.047","60.047","60.047","60.247","60.247","60.247","60.247","46.987","46.987","46.987","42","42","39.56","39.56","39.56","39.844","39.844","39.844","39.844","39.823","39.823","39.823","39.823","39.85","39.85","39.85","39.85","39.86","39.86","39.86","39.86","39.854","39.854","39.854","39.854","39.867","39.867","39.875","39.875","39.751999999999995","39.751999999999995","39.751999999999995","39.752","39.752","39.752","39.752","39.752","39.752","39.752","39.752","39.752","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.814","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748","39.748"
"1988:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.344","60.336","60.336","60.157","60.157","60.157","60.157","60.251","60.251","60.251","60.251","46.988","46.988","46.988","42","42","39.766","39.766","39.766","39.899","39.899","39.899","39.899","39.916","39.916","39.916","39.916","39.923","39.923","39.923","39.923","39.928","39.928","39.928","39.928","39.91","39.91","39.91","39.907999999999994","39.863","39.863","39.87","39.87","39.617","39.617","39.617","39.617","39.617","39.617","39.617","39.617","39.617","39.617","39.617","39.617","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.678","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613","39.613"
"1988:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.502","60.502","60.316","60.316","60.316","60.316","60.38","60.38","60.38","60.38","47.102","47.102","47.102","42","42","39.796","39.796","39.796","40.015","40.015","40.015","40.015","40.014","40.014","40.014","40.014","40.019","40.019","40.019","40.019","40.019","40.019","40.019","40.019","40.014","40.013999999999996","40.013999999999996","40.013999999999996","40.038","40.038","40.029999999999994","40.029999999999994","39.88699999999999","39.88699999999999","39.88699999999999","39.887","39.887","39.886","39.886","39.886","39.886","39.886","39.886","39.886","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.946","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882","39.882"
"1988:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.215","60.215","60.043","60.043","60.043","60.043","60.016","60.016","60.016","60.016","46.715","46.715","46.715","42","42","39.981","39.981","39.981","39.615","39.615","39.615","39.615","39.616","39.616","39.616","39.616","39.606","39.606","39.606","39.606","39.595","39.595","39.595","39.595","39.609","39.608999999999995","39.608999999999995","39.623","39.635999999999996","39.635999999999996","39.644999999999996","39.644999999999996","39.565","39.565","39.565","39.565","39.565","39.565","39.565","39.565","39.565","39.565","39.565","39.565","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562","39.562"
"1988:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.432","60.438","60.343","60.343","60.343","60.343","60.228","60.228","60.228","60.228","47.003","47.003","47.003","42","42","39.654","39.654","39.654","39.844","39.844","39.844","39.844","39.821","39.821","39.821","39.821","39.796","39.796","39.796","39.796","39.795","39.795","39.795","39.795","39.803","39.803","39.803","39.806999999999995","39.791","39.791","39.799","39.799","39.900999999999996","39.900999999999996","39.900999999999996","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.94","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904","39.904"
"1988:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.516","60.314","60.314","60.314","60.314","60.27","60.27","60.27","60.27","47.124","47.124","47.124","42","42","39.989","39.989","39.989","39.937","39.937","39.937","39.937","39.906","39.906","39.906","39.906","39.899","39.899","39.899","39.899","39.916","39.916","39.916","39.916","39.941","39.940999999999995","39.940999999999995","39.940999999999995","39.980999999999995","39.980999999999995","39.983","39.983","39.997","39.997","39.997","39.997","39.997","39.996","39.996","39.996","39.996","39.996","39.996","39.996","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.007","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009","40.009"
"1988:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","60.508","60.234","60.234","60.234","60.234","60.121","60.121","60.121","60.121","47.124","47.124","47.124","42","42","40.064","40.064","40.064","39.927","39.927","39.927","39.927","39.925","39.925","39.925","39.925","39.927","39.927","39.927","39.927","39.938","39.938","39.938","39.938","39.957","39.956999999999994","39.956999999999994","39.956999999999994","39.961999999999996","39.961999999999996","39.962999999999994","39.962999999999994","39.962999999999994","39.962999999999994","39.962999999999994","39.963","39.963","39.963","39.963","39.963","39.963","39.963","39.963","39.963","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.956","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982","39.982"
"1989:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","59.939","59.754","59.754","59.754","59.754","59.747","59.747","59.747","59.747","46.938","46.938","46.938","42","42","39.826","39.826","39.826","39.839","39.839","39.839","39.839","39.868","39.868","39.868","39.868","39.884","39.884","39.884","39.884","39.891","39.891","39.891","39.891","39.897","39.897","39.897","39.897999999999996","39.837999999999994","39.837999999999994","39.834999999999994","39.834999999999994","39.797","39.797","39.797","39.797","39.797","39.796","39.796","39.796","39.796","39.796","39.796","39.796","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.798","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811","39.811"
"1989:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","59.822","59.822","59.822","59.822","59.93","59.93","59.93","59.93","47.057","47.057","47.057","42","42","39.836","39.836","39.836","39.868","39.868","39.868","39.868","39.855","39.855","39.855","39.855","39.841","39.841","39.841","39.841","39.812","39.812","39.812","39.812","39.801","39.800999999999995","39.800999999999995","39.800999999999995","39.802","39.802","39.788","39.788","39.897999999999996","39.897999999999996","39.897999999999996","39.898","39.898","39.898","39.898","39.898","39.898","39.898","39.898","39.898","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.922","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901"
"1989:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","59.376","59.376","59.376","59.376","59.451","59.451","59.451","59.451","46.593","46.593","46.593","42","42","39.382","39.382","39.382","39.413","39.413","39.413","39.413","39.438","39.438","39.438","39.438","39.416","39.416","39.416","39.416","39.398","39.398","39.398","39.398","39.376","39.376","39.376","39.376","39.379999999999995","39.379999999999995","39.38399999999999","39.38399999999999","39.372","39.372","39.372","39.372","39.372","39.372","39.372","39.372","39.372","39.372","39.372","39.372","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.411","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366","39.366"
