"","BASEBASA65M11","BASEBASA66M2","BASEBASA66M5","BASEBASA66M8","BASEBASA66M11","BASEBASA67M2","BASEBASA67M5","BASEBASA67M8","BASEBASA67M11","BASEBASA68M2","BASEBASA68M5","BASEBASA68M8","BASEBASA68M11","BASEBASA69M2","BASEBASA69M5","BASEBASA69M8","BASEBASA69M11","BASEBASA70M2","BASEBASA70M5","BASEBASA70M8","BASEBASA70M11","BASEBASA71M2","BASEBASA71M5","BASEBASA71M8","BASEBASA71M11","BASEBASA72M2","BASEBASA72M5","BASEBASA72M8","BASEBASA72M11","BASEBASA73M2","BASEBASA73M5","BASEBASA73M8","BASEBASA73M11","BASEBASA74M2","BASEBASA74M5","BASEBASA74M8","BASEBASA74M11","BASEBASA75M2","BASEBASA75M5","BASEBASA75M8","BASEBASA75M11","BASEBASA76M2","BASEBASA76M5","BASEBASA76M8","BASEBASA76M11","BASEBASA77M2","BASEBASA77M5","BASEBASA77M8","BASEBASA77M11","BASEBASA78M2","BASEBASA78M5","BASEBASA78M8","BASEBASA78M11","BASEBASA79M2","BASEBASA79M5","BASEBASA79M8","BASEBASA79M11","BASEBASA80M2","BASEBASA80M5","BASEBASA80M8","BASEBASA80M11","BASEBASA81M2","BASEBASA81M5","BASEBASA81M8","BASEBASA81M11","BASEBASA82M2","BASEBASA82M5","BASEBASA82M8","BASEBASA82M11","BASEBASA83M2","BASEBASA83M5","BASEBASA83M8","BASEBASA83M11","BASEBASA84M2","BASEBASA84M5","BASEBASA84M8","BASEBASA84M11","BASEBASA85M2","BASEBASA85M5","BASEBASA85M8","BASEBASA85M11","BASEBASA86M2","BASEBASA86M5","BASEBASA86M8","BASEBASA86M11","BASEBASA87M2","BASEBASA87M5","BASEBASA87M8","BASEBASA87M11","BASEBASA88M2","BASEBASA88M5","BASEBASA88M8","BASEBASA88M11","BASEBASA89M2","BASEBASA89M5","BASEBASA89M8","BASEBASA89M11","BASEBASA90M2","BASEBASA90M5","BASEBASA90M8","BASEBASA90M11","BASEBASA91M2","BASEBASA91M5","BASEBASA91M8","BASEBASA91M11","BASEBASA92M2","BASEBASA92M5","BASEBASA92M8","BASEBASA92M11","BASEBASA93M2","BASEBASA93M5","BASEBASA93M8","BASEBASA93M11","BASEBASA94M2","BASEBASA94M5","BASEBASA94M8","BASEBASA94M11","BASEBASA95M2","BASEBASA95M5","BASEBASA95M8","BASEBASA95M11","BASEBASA96M2","BASEBASA96M5","BASEBASA96M8","BASEBASA96M11","BASEBASA97M2","BASEBASA97M5","BASEBASA97M8","BASEBASA97M11","BASEBASA98M2","BASEBASA98M5","BASEBASA98M8","BASEBASA98M11","BASEBASA99M2","BASEBASA99M5","BASEBASA99M8","BASEBASA99M11","BASEBASA00M2","BASEBASA00M5","BASEBASA00M8","BASEBASA00M11","BASEBASA01M2","BASEBASA01M5","BASEBASA01M8","BASEBASA01M11","BASEBASA02M2","BASEBASA02M5","BASEBASA02M8","BASEBASA02M11","BASEBASA03M2","BASEBASA03M5","BASEBASA03M8","BASEBASA03M11","BASEBASA04M2","BASEBASA04M5","BASEBASA04M8","BASEBASA04M11","BASEBASA05M2","BASEBASA05M5","BASEBASA05M8","BASEBASA05M11","BASEBASA06M2","BASEBASA06M5","BASEBASA06M8","BASEBASA06M11","BASEBASA07M2","BASEBASA07M5","BASEBASA07M8","BASEBASA07M11","BASEBASA08M2","BASEBASA08M5","BASEBASA08M8","BASEBASA08M11","BASEBASA09M2","BASEBASA09M5","BASEBASA09M8","BASEBASA09M11","BASEBASA10M2","BASEBASA10M5","BASEBASA10M8","BASEBASA10M11","BASEBASA11M2","BASEBASA11M5","BASEBASA11M8","BASEBASA11M11","BASEBASA12M2","BASEBASA12M5","BASEBASA12M8","BASEBASA12M11","BASEBASA13M2","BASEBASA13M5"
"1983:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","173.831","173.8","172.4","172.4","42","42","42","172.821","172.821","172.821","172.806","172.806","172.806","172.806","172.643","172.643","172.643","172.643","172.643","174.348","174.348","174.348","176.163","176.163","176.163","176.163","176.116","176.116","176.116","176.116","167.388","167.388","167.388","42","42","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17000000000002","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17","163.17"
"1983:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","176.102","176.1","174.219","174.219","42","42","42","174.668","174.668","174.668","174.623","174.623","174.623","174.623","174.466","174.466","174.466","174.466","174.466","176.356","176.356","176.356","178.15","178.15","178.15","178.15","178.12","178.12","178.12","178.12","169.377","169.377","169.377","42","42","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052","165.052"
"1983:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","177.251","177.3","175.411","175.411","42","42","42","175.882","175.882","175.882","175.995","175.995","175.995","175.995","175.844","175.844","175.844","175.844","175.844","177.696","177.696","177.696","179.492","179.492","179.492","179.492","179.467","179.467","179.467","179.467","170.983","170.983","170.983","42","42","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.54899999999998","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549","166.549"
"1983:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","178.809","178.8","176.693","176.693","42","42","42","177.166","177.166","177.166","177.102","177.102","177.102","177.102","176.948","176.948","176.948","176.948","176.948","178.88","178.88","178.88","180.587","180.587","180.587","180.587","180.556","180.556","180.556","180.556","172.253","172.253","172.253","42","42","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.84199999999998","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842","167.842"
"1983:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","180.317","180.3","178.331","178.331","42","42","42","178.808","178.808","178.808","178.729","178.729","178.729","178.729","178.574","178.574","178.574","178.574","178.574","180.552","180.552","180.552","182.201","182.201","182.201","182.201","182.167","182.167","182.167","182.167","173.876","173.876","173.876","42","42","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.39299999999997","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393","169.393"
"1983:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","181.084","181.1","179.308","179.308","42","42","42","179.789","179.789","179.789","179.711","179.711","179.711","179.711","179.553","179.553","179.553","179.553","179.553","181.544","181.544","181.544","183.142","183.142","183.142","183.142","183.11","183.11","183.11","183.11","174.614","174.614","174.614","42","42","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129","170.129"
"1983:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","182.1","182.1","180.127","180.127","42","42","42","180.619","180.619","180.619","180.544","180.544","180.544","180.544","180.393","180.393","180.393","180.393","180.393","182.411","182.411","182.411","183.947","183.947","183.947","183.947","183.918","183.918","183.918","183.918","175.701","175.701","175.701","42","42","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208","171.208"
"1983:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","183.4","183.4","181.775","181.775","42","42","42","182.272","182.272","182.272","182.187","182.187","182.187","182.187","182.035","182.035","182.035","182.035","182.035","183.741","183.741","183.741","185.216","185.216","185.216","185.216","185.193","185.193","185.193","185.193","176.916","176.916","176.916","42","42","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.41099999999997","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411","172.411"
"1983:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","184.5","184.6","182.845","182.845","42","42","42","183.357","183.357","183.357","183.261","183.261","183.261","183.261","183.109","183.109","183.109","183.109","183.109","184.837","184.837","184.837","186.269","186.269","186.269","186.269","186.244","186.244","186.244","186.244","178.091","178.091","178.091","42","42","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.58399999999997","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584","173.584"
"1983:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","185.5","183.949","183.949","42","42","42","184.472","184.472","184.472","184.376","184.376","184.376","184.376","184.232","184.232","184.232","184.232","184.232","185.987","185.987","185.987","187.353","187.353","187.353","187.353","187.325","187.325","187.325","187.325","179.074","179.074","179.074","42","42","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605","174.605"
"1983:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","186.5","184.969","184.969","42","42","42","185.485","185.485","185.485","185.384","185.384","185.384","185.384","185.235","185.235","185.235","185.235","185.235","187.005","187.005","187.005","188.303","188.303","188.303","188.303","188.275","188.275","188.275","188.275","179.921","179.921","179.921","42","42","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.46699999999998","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467","175.467"
"1984:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","188.7","186.939","186.94","42","42","42","187.484","187.484","187.484","187.373","187.373","187.373","187.373","187.21","187.21","187.21","187.21","187.21","188.674","188.674","188.674","189.957","189.957","189.957","189.957","189.925","189.925","189.925","189.925","181.319","181.319","181.319","42","42","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896","176.896"
"1984:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","188.582","188.582","42","42","42","188.938","188.938","188.938","189.238","189.238","189.238","189.238","189.372","189.372","189.372","189.372","189.372","190.085","190.085","190.085","191.603","191.603","191.603","191.603","191.582","191.582","191.582","191.582","182.257","182.257","182.257","42","42","177.809","177.809","177.809","177.821","177.821","177.821","177.821","177.818","177.818","177.818","177.818","177.819","177.819","177.819","177.819","177.783","177.783","177.783","177.783","177.74","177.73999999999998","177.73999999999998","177.76","177.759","177.759","177.759","177.742","177.85999999999999","177.85999999999999","177.85999999999999","177.863","177.863","177.863","177.863","177.868","177.866","177.866","177.866","177.862","177.932","177.932","177.932","177.93","177.93","177.93","177.93","177.928","177.928","177.928","177.928","177.922","177.922","177.833","177.833","177.839","177.839","177.839","177.839","177.835","177.835","177.835","177.835","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838","177.838"
"1984:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","188.712","188.715","42","42","42","189.828","189.828","189.828","190.094","190.094","190.094","190.094","190.36","190.36","190.36","190.36","190.36","191.233","191.233","191.233","192.563","192.563","192.563","192.563","192.501","192.501","192.501","192.501","183.119","183.119","183.119","42","42","178.919","178.919","178.919","178.938","178.938","178.938","178.938","178.973","178.973","178.973","178.973","178.992","178.992","178.992","178.992","178.973","178.973","178.973","178.973","178.923","178.92299999999997","178.92299999999997","179.02599999999998","179.00699999999998","179.00699999999998","179.00699999999998","178.90099999999998","178.88899999999998","178.88899999999998","178.88899999999998","178.887","178.887","178.887","178.887","178.891","178.889","178.889","178.889","178.898","178.968","178.968","178.968","178.964","178.964","178.964","178.964","178.966","178.966","178.966","178.966","178.967","178.967","178.871","178.871","178.866","178.866","178.866","178.866","178.87","178.87","178.87","178.87","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872","178.872"
"1984:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","189.627","189.658","42","42","42","190.515","190.515","190.515","190.787","190.787","190.787","190.787","191.297","191.297","191.297","191.297","191.297","192.008","192.008","192.008","193.334","193.334","193.334","193.334","193.219","193.219","193.219","193.219","183.838","183.838","183.838","42","42","179.943","179.943","179.943","179.993","179.993","179.993","179.993","180.039","180.039","180.039","180.039","180.041","180.041","180.041","180.041","180.052","180.052","180.052","180.052","179.996","179.99599999999998","179.99599999999998","180.10999999999999","180.112","180.112","180.112","180.064","179.904","179.904","179.904","179.906","179.906","179.906","179.906","179.905","179.9","179.9","179.9","179.891","179.956","179.956","179.956","179.962","179.962","179.962","179.962","179.959","179.959","179.959","179.959","179.987","179.987","179.897","179.897","179.894","179.894","179.894","179.894","179.896","179.896","179.896","179.896","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898","179.898"
"1984:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","191.262","42","42","42","191.715","191.715","191.715","192.031","192.031","192.031","192.031","192.248","192.248","192.248","192.248","192.248","192.929","192.929","192.929","194.329","194.329","194.329","194.329","194.503","194.503","194.503","194.503","184.926","184.926","184.926","42","42","180.928","180.928","180.928","180.985","180.985","180.985","180.985","180.958","180.958","180.958","180.958","180.963","180.963","180.963","180.963","180.968","180.968","180.968","180.968","181.132","181.13199999999998","181.13199999999998","181.011","181.03599999999997","181.03599999999997","181.03599999999997","180.938","180.814","180.814","180.814","180.812","180.812","180.812","180.812","180.809","180.802","180.802","180.802","180.797","180.854","180.854","180.854","180.859","180.859","180.859","180.859","180.859","180.859","180.859","180.859","180.808","180.808","180.729","180.729","180.729","180.729","180.729","180.729","180.725","180.725","180.725","180.725","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.722","180.723","180.723"
"1984:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","193.122","42","42","42","193.659","193.659","193.659","193.924","193.924","193.924","193.924","194.041","194.041","194.041","194.041","194.041","194.806","194.806","194.806","196.21","196.21","196.21","196.21","196.271","196.271","196.271","196.271","186.378","186.378","186.378","42","42","182.078","182.078","182.078","182.157","182.157","182.157","182.157","182.156","182.156","182.156","182.156","182.168","182.168","182.168","182.168","182.185","182.185","182.185","182.185","182.269","182.26899999999998","182.26899999999998","182.20899999999997","182.196","182.196","182.196","182.033","181.976","181.976","181.976","181.979","181.979","181.979","181.979","181.983","181.976","181.976","181.976","181.996","182.045","182.045","182.045","182.034","182.034","182.034","182.034","182.038","182.038","182.038","182.038","182.059","182.059","181.992","181.992","181.996","181.996","181.996","181.996","181.997","181.997","181.997","181.997","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995","181.995"
"1984:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","193.99","42","42","42","194.46","194.46","194.46","194.719","194.719","194.719","194.719","194.834","194.834","194.834","194.834","194.834","195.555","195.555","195.555","196.941","196.941","196.941","196.941","197.062","197.062","197.062","197.062","187.072","187.072","187.072","42","42","182.803","182.803","182.803","182.902","182.902","182.902","182.902","182.915","182.915","182.915","182.915","182.917","182.917","182.917","182.917","182.909","182.909","182.909","182.909","182.957","182.957","182.957","182.957","182.95299999999997","182.95299999999997","182.95299999999997","182.863","183.01199999999997","183.01199999999997","183.01199999999997","183.01","183.01","183.01","183.01","183.002","182.998","182.998","182.998","182.999","183.047","183.047","183.047","183.053","183.053","183.053","183.053","183.052","183.052","183.052","183.052","183.062","183.062","182.995","182.995","182.994","182.994","182.994","182.994","182.995","182.995","182.995","182.995","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991","182.991"
"1984:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","195.568","195.568","195.568","195.709","195.709","195.709","195.709","195.802","195.802","195.802","195.802","195.802","196.606","196.606","196.606","197.916","197.916","197.916","197.916","197.937","197.937","197.937","197.937","187.795","187.795","187.795","42","42","183.692","183.692","183.692","183.75","183.75","183.75","183.75","183.76","183.76","183.76","183.76","183.778","183.778","183.778","183.778","183.77","183.77","183.77","183.77","183.787","183.78699999999998","183.78699999999998","183.821","183.832","183.832","183.832","183.71699999999998","183.773","183.773","183.773","183.773","183.773","183.773","183.773","183.782","183.783","183.783","183.783","183.784","183.831","183.831","183.831","183.83","183.83","183.83","183.83","183.831","183.831","183.831","183.831","183.826","183.826","183.76","183.76","183.76","183.76","183.76","183.76","183.756","183.756","183.756","183.756","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754","183.754"
