"","NBRBASA65M11","NBRBASA66M2","NBRBASA66M5","NBRBASA66M8","NBRBASA66M11","NBRBASA67M2","NBRBASA67M5","NBRBASA67M8","NBRBASA67M11","NBRBASA68M2","NBRBASA68M5","NBRBASA68M8","NBRBASA68M11","NBRBASA69M2","NBRBASA69M5","NBRBASA69M8","NBRBASA69M11","NBRBASA70M2","NBRBASA70M5","NBRBASA70M8","NBRBASA70M11","NBRBASA71M2","NBRBASA71M5","NBRBASA71M8","NBRBASA71M11","NBRBASA72M2","NBRBASA72M5","NBRBASA72M8","NBRBASA72M11","NBRBASA73M2","NBRBASA73M5","NBRBASA73M8","NBRBASA73M11","NBRBASA74M2","NBRBASA74M5","NBRBASA74M8","NBRBASA74M11","NBRBASA75M2","NBRBASA75M5","NBRBASA75M8","NBRBASA75M11","NBRBASA76M2","NBRBASA76M5","NBRBASA76M8","NBRBASA76M11","NBRBASA77M2","NBRBASA77M5","NBRBASA77M8","NBRBASA77M11","NBRBASA78M2","NBRBASA78M5","NBRBASA78M8","NBRBASA78M11","NBRBASA79M2","NBRBASA79M5","NBRBASA79M8","NBRBASA79M11","NBRBASA80M2","NBRBASA80M5","NBRBASA80M8","NBRBASA80M11","NBRBASA81M2","NBRBASA81M5","NBRBASA81M8","NBRBASA81M11","NBRBASA82M2","NBRBASA82M5","NBRBASA82M8","NBRBASA82M11","NBRBASA83M2","NBRBASA83M5","NBRBASA83M8","NBRBASA83M11","NBRBASA84M2","NBRBASA84M5","NBRBASA84M8","NBRBASA84M11","NBRBASA85M2","NBRBASA85M5","NBRBASA85M8","NBRBASA85M11","NBRBASA86M2","NBRBASA86M5","NBRBASA86M8","NBRBASA86M11","NBRBASA87M2","NBRBASA87M5","NBRBASA87M8","NBRBASA87M11","NBRBASA88M2","NBRBASA88M5","NBRBASA88M8","NBRBASA88M11","NBRBASA89M2","NBRBASA89M5","NBRBASA89M8","NBRBASA89M11","NBRBASA90M2","NBRBASA90M5","NBRBASA90M8","NBRBASA90M11","NBRBASA91M2","NBRBASA91M5","NBRBASA91M8","NBRBASA91M11","NBRBASA92M2","NBRBASA92M5","NBRBASA92M8","NBRBASA92M11","NBRBASA93M2","NBRBASA93M5","NBRBASA93M8","NBRBASA93M11","NBRBASA94M2","NBRBASA94M5","NBRBASA94M8","NBRBASA94M11","NBRBASA95M2","NBRBASA95M5","NBRBASA95M8","NBRBASA95M11","NBRBASA96M2","NBRBASA96M5","NBRBASA96M8","NBRBASA96M11","NBRBASA97M2","NBRBASA97M5","NBRBASA97M8","NBRBASA97M11","NBRBASA98M2","NBRBASA98M5","NBRBASA98M8","NBRBASA98M11","NBRBASA99M2","NBRBASA99M5","NBRBASA99M8","NBRBASA99M11","NBRBASA00M2","NBRBASA00M5","NBRBASA00M8","NBRBASA00M11","NBRBASA01M2","NBRBASA01M5","NBRBASA01M8","NBRBASA01M11","NBRBASA02M2","NBRBASA02M5","NBRBASA02M8","NBRBASA02M11","NBRBASA03M2","NBRBASA03M5","NBRBASA03M8","NBRBASA03M11","NBRBASA04M2","NBRBASA04M5","NBRBASA04M8","NBRBASA04M11","NBRBASA05M2","NBRBASA05M5","NBRBASA05M8","NBRBASA05M11","NBRBASA06M2","NBRBASA06M5","NBRBASA06M8","NBRBASA06M11","NBRBASA07M2","NBRBASA07M5","NBRBASA07M8","NBRBASA07M11","NBRBASA08M2","NBRBASA08M5","NBRBASA08M8","NBRBASA08M11","NBRBASA09M2","NBRBASA09M5","NBRBASA09M8","NBRBASA09M11","NBRBASA10M2","NBRBASA10M5","NBRBASA10M8","NBRBASA10M11","NBRBASA11M2","NBRBASA11M5","NBRBASA11M8","NBRBASA11M11","NBRBASA12M2","NBRBASA12M5","NBRBASA12M8","NBRBASA12M11","NBRBASA13M2","NBRBASA13M5"
"1985:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","41.502","41.5","41.5","41.976","41.976","41.976","41.976","42.189","42.189","42.189","42.189","42.189","43.131","43.131","43.131","44.435","44.435","44.435","44.435","44.49","44.49","44.49","44.49","33.245","33.245","33.245","42","42","28.057","28.057","28.057","28.13","28.13","28.13","28.13","28.138","28.138","28.138","28.138","28.142","28.142","28.142","28.142","28.144","28.144","28.144","28.144","28.134","28.133999999999997","28.133999999999997","28.133","28.136","28.136","28.136","28.136","28.041999999999998","28.041999999999998","28.041999999999998","28.042","28.042","28.042","28.042","28.042","28.042","28.042","28.042","28.042","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.055","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.034","28.035","28.035"
"1985:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42.121","42.121","42.581","42.581","42.581","42.581","42.759","42.759","42.759","42.759","42.759","43.72","43.72","43.72","45.017","45.017","45.017","45.017","45.053","45.053","45.053","45.053","33.849","33.849","33.849","42","42","28.62","28.62","28.62","28.648","28.648","28.648","28.648","28.65","28.65","28.65","28.65","28.653","28.653","28.653","28.653","28.654","28.654","28.654","28.654","28.645","28.645","28.645","28.645","28.639","28.639","28.639","28.639","28.587999999999997","28.587999999999997","28.587999999999997","28.588","28.588","28.588","28.588","28.588","28.588","28.588","28.588","28.588","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.604","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58","28.58"
"1985:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42.218","42.218","42.593","42.593","42.593","42.593","43.029","43.029","43.029","43.029","43.029","44.011","44.011","44.011","45.315","45.315","45.315","45.315","45.263","45.263","45.263","45.263","34.03","34.03","34.03","42","42","28.764","28.764","28.764","28.722","28.722","28.722","28.722","28.72","28.72","28.72","28.72","28.715","28.715","28.715","28.715","28.708","28.708","28.708","28.708","28.729","28.729","28.729","28.747","28.772","28.772","28.772","28.772","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.765","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.741","28.742","28.742"
"1985:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42.452","42.464","43.056","43.056","43.056","43.056","43.756","43.756","43.756","43.756","43.756","44.733","44.733","44.733","46.102","46.102","46.102","46.102","45.993","45.993","45.993","45.993","34.689","34.689","34.689","42","42","29.361","29.361","29.361","29.251","29.251","29.251","29.251","29.23","29.23","29.23","29.23","29.216","29.216","29.216","29.216","29.217","29.217","29.217","29.217","29.235","29.235","29.235","29.238","29.249","29.249","29.249","29.249","29.308","29.308","29.308","29.308","29.308","29.308","29.308","29.308","29.308","29.308","29.308","29.308","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.315","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303","29.303"
"1985:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42.636","43.106","43.106","43.106","43.106","43.673","43.673","43.673","43.673","43.673","44.716","44.716","44.716","46.008","46.008","46.008","46.008","45.936","45.936","45.936","45.936","34.595","34.595","34.595","42","42","29.163","29.163","29.163","29.064","29.064","29.064","29.064","29.038","29.038","29.038","29.038","29.029","29.029","29.029","29.029","29.041","29.041","29.041","29.041","29.053","29.052999999999997","29.052999999999997","29.052999999999997","29.087999999999997","29.087999999999997","29.087999999999997","29.087999999999997","29.171999999999997","29.171999999999997","29.171999999999997","29.172","29.172","29.172","29.172","29.172","29.172","29.172","29.172","29.172","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.164","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.175","29.176","29.176"
"1985:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","43.867","44.294","44.294","44.294","44.294","44.738","44.738","44.738","44.738","44.738","45.937","45.937","45.937","47.175","47.175","47.175","47.175","47.055","47.055","47.055","47.055","35.743","35.743","35.743","42","42","30.167","30.167","30.167","30.129","30.129","30.129","30.129","30.132","30.132","30.132","30.132","30.133","30.133","30.133","30.133","30.141","30.141","30.141","30.141","30.144","30.144","30.144","30.144","30.107999999999997","30.107999999999997","30.107999999999997","30.107999999999997","30.238999999999997","30.238999999999997","30.238999999999997","30.239","30.239","30.24","30.24","30.24","30.239","30.239","30.239","30.239","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.223","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.25","30.251","30.251"
"1986:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","44.586","45.111","45.111","45.111","45.012","45.345","45.345","45.345","45.345","45.345","46.456","46.456","46.456","47.72","47.72","47.72","47.72","47.716","47.716","47.716","47.716","36.442","36.442","36.442","42","42","30.844","30.844","30.844","30.861","30.861","30.861","30.861","30.888","30.888","30.888","30.888","30.896","30.896","30.896","30.896","30.902","30.902","30.902","30.902","30.899","30.898999999999997","30.898999999999997","30.898","30.834","30.834","30.834","30.834","30.781","30.781","30.781","30.781","30.781","30.781","30.781","30.781","30.781","30.781","30.781","30.781","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.778","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.793","30.794","30.794"
"1986:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","45.486","45.486","45.486","45.381","45.832","45.832","45.832","45.832","45.832","46.943","46.943","46.943","48.13","48.13","48.13","48.13","48.201","48.201","48.201","48.201","36.485","36.485","36.485","42","42","30.799","30.799","30.799","30.818","30.818","30.818","30.818","30.802","30.802","30.802","30.802","30.791","30.791","30.791","30.791","30.768","30.768","30.768","30.768","30.763","30.762999999999998","30.762999999999998","30.761999999999997","30.785999999999998","30.785999999999998","30.785999999999998","30.785999999999998","30.769","30.769","30.769","30.769","30.769","30.769","30.769","30.769","30.769","30.769","30.769","30.769","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.791","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775","30.775"
"1986:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","46.104","46.104","46.104","46.025","46.619","46.619","46.619","46.619","46.619","47.73","47.73","47.73","48.858","48.858","48.858","48.858","48.916","48.916","48.916","48.916","37.075","37.075","37.075","42","42","31.281","31.281","31.281","31.293","31.293","31.293","31.293","31.316","31.316","31.316","31.316","31.302","31.302","31.302","31.302","31.289","31.289","31.289","31.289","31.281","31.281","31.281","31.281","31.287999999999997","31.287999999999997","31.287999999999997","31.287999999999997","31.331999999999997","31.331999999999997","31.331999999999997","31.332","31.332","31.332","31.332","31.332","31.332","31.332","31.332","31.332","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.372","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33","31.33"
"1986:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","46.382","46.383","46.382","46.3","47.146","47.146","47.146","47.146","47.146","48.091","48.091","48.091","49.26","49.26","49.26","49.26","49.095","49.095","49.095","49.095","37.364","37.364","37.364","42","42","31.54","31.54","31.54","31.571","31.571","31.571","31.571","31.616","31.616","31.616","31.616","31.627","31.627","31.627","31.627","31.636","31.636","31.636","31.636","31.642","31.642","31.642","31.641","31.654999999999998","31.654999999999998","31.654999999999998","31.654999999999998","31.63","31.63","31.63","31.63","31.63","31.63","31.63","31.63","31.63","31.63","31.63","31.63","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.674","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625","31.625"
"1986:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","47.701","47.701","47.677","48.14","48.14","48.14","48.14","48.14","49.016","49.016","49.016","50.22","50.22","50.22","50.22","50.227","50.227","50.227","50.227","38.416","38.416","38.416","42","42","32.407","32.407","32.407","32.455","32.455","32.455","32.455","32.427","32.427","32.427","32.427","32.436","32.436","32.436","32.436","32.44","32.44","32.44","32.44","32.428","32.428","32.428","32.428","32.431999999999995","32.431999999999995","32.431999999999995","32.431999999999995","32.394999999999996","32.394999999999996","32.394999999999996","32.395","32.395","32.395","32.395","32.395","32.395","32.395","32.395","32.395","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.437","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.389","32.39","32.39"
"1986:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","48.642","48.642","48.549","48.923","48.923","48.923","48.923","48.923","49.963","49.963","49.963","51.051","51.051","51.051","51.051","51.198","51.198","51.198","51.198","39.31","39.31","39.31","42","42","33.212","33.212","33.212","33.287","33.287","33.287","33.287","33.274","33.274","33.274","33.274","33.293","33.293","33.293","33.293","33.301","33.301","33.301","33.301","33.287","33.287","33.287","33.285999999999994","33.269","33.269","33.269","33.269","33.148999999999994","33.148999999999994","33.148999999999994","33.149","33.149","33.149","33.149","33.149","33.149","33.149","33.149","33.149","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.188","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144","33.144"
"1986:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","49.748","49.748","49.742","49.95","49.95","49.95","49.95","49.95","50.966","50.966","50.966","51.924","51.924","51.924","51.924","51.975","51.975","51.975","51.975","40.103","40.103","40.103","42","42","33.927","33.927","33.927","34.02","34.02","34.02","34.02","34.034","34.034","34.034","34.034","34.036","34.036","34.036","34.036","34.038","34.038","34.038","34.038","34.016","34.016","34.016","34.013999999999996","33.989","33.989","33.989","33.989","33.922","33.922","33.922","33.922","33.922","33.922","33.922","33.922","33.922","33.922","33.922","33.922","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.966","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.916","33.917","33.917"
"1986:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","50.446","50.446","50.628","50.628","50.628","50.628","50.628","51.691","51.691","51.691","52.602","52.602","52.602","52.602","52.63","52.63","52.63","52.63","40.642","40.642","40.642","42","42","34.432","34.432","34.432","34.454","34.454","34.454","34.454","34.453","34.453","34.453","34.453","34.46","34.46","34.46","34.46","34.461","34.461","34.461","34.461","34.456","34.455999999999996","34.455999999999996","34.452999999999996","34.452999999999996","34.452999999999996","34.452999999999996","34.452999999999996","34.32599999999999","34.32599999999999","34.32599999999999","34.326","34.326","34.326","34.326","34.326","34.326","34.326","34.326","34.326","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.376","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319","34.319"
"1986:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","50.801","50.801","51.294","51.294","51.294","51.294","51.294","52.317","52.317","52.317","53.195","53.195","53.195","53.195","53.105","53.105","53.105","53.105","40.978","40.978","40.978","42","42","34.698","34.698","34.698","34.657","34.657","34.657","34.657","34.658","34.658","34.658","34.658","34.652","34.652","34.652","34.652","34.644","34.644","34.644","34.644","34.667","34.666999999999994","34.666999999999994","34.674","34.709999999999994","34.709999999999994","34.709999999999994","34.709999999999994","34.619","34.619","34.619","34.619","34.619","34.619","34.619","34.619","34.619","34.619","34.619","34.619","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.672","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613","34.613"
"1986:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","51.556","51.559","52.384","52.384","52.384","52.384","52.384","53.356","53.356","53.356","54.268","54.268","54.268","54.268","54.13","54.13","54.13","54.13","41.892","41.892","41.892","42","42","35.535","35.535","35.535","35.397","35.397","35.397","35.397","35.369","35.369","35.369","35.369","35.353","35.353","35.353","35.353","35.354","35.354","35.354","35.354","35.378","35.37799999999999","35.37799999999999","35.376999999999995","35.4","35.4","35.4","35.4","35.422","35.422","35.422","35.422","35.422","35.422","35.422","35.422","35.422","35.422","35.422","35.422","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.467","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.42","35.421","35.421"
"1986:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","53.071","53.737","53.737","53.737","53.737","53.737","54.808","54.808","54.808","55.594","55.594","55.594","55.594","55.476","55.476","55.476","55.476","43.169","43.169","43.169","42","42","36.567","36.567","36.567","36.457","36.457","36.457","36.457","36.434","36.434","36.434","36.434","36.422","36.422","36.422","36.422","36.436","36.436","36.436","36.436","36.438","36.437999999999995","36.437999999999995","36.437","36.416999999999994","36.416999999999994","36.416999999999994","36.416999999999994","36.51199999999999","36.51199999999999","36.51199999999999","36.512","36.512","36.512","36.512","36.512","36.511","36.511","36.511","36.511","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.537","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519","36.519"
"1986:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","54.811","55.34","55.34","55.34","55.34","55.34","56.629","56.629","56.629","57.313","57.313","57.313","57.313","57.197","57.197","57.197","57.197","45.037","45.037","45.037","42","42","38.179","38.179","38.179","38.116","38.116","38.116","38.116","38.108","38.108","38.108","38.108","38.113","38.113","38.113","38.113","38.123","38.123","38.123","38.123","38.146","38.145999999999994","38.145999999999994","38.145999999999994","38.19799999999999","38.19799999999999","38.19799999999999","38.19799999999999","37.998999999999995","37.998999999999995","37.998999999999995","37.999","37.999","37.999","37.999","37.999","37.999","37.999","37.999","37.999","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.015","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014","38.014"
"1987:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","56.077","56.304","56.304","56.304","56.304","56.304","57.35","57.35","57.35","58.019","58.019","58.019","58.019","58.021","58.021","58.021","58.021","45.782","45.782","45.782","42","42","38.75","38.75","38.75","38.785","38.785","38.785","38.785","38.828","38.828","38.828","38.828","38.836","38.836","38.836","38.836","38.843","38.843","38.843","38.843","38.827","38.827","38.827","38.824999999999996","38.675","38.675","38.675","38.675","38.650000000000006","38.650000000000006","38.650000000000006","38.65","38.65","38.649","38.649","38.649","38.649","38.649","38.649","38.649","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.681","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664","38.664"
